text,rating,date,author
friendly quality place service great amazing experience price terrible terrible dirty dirty quality food place quality,2,18-08-2025,FygqPKMy
service service friendly quality bad friendly service dirty great clean staff clean food experience service terrible staff terrible service experience experience,3,16-01-2024,cEuzvVAB
clean great experience staff amazing service,1,21-01-2024,pWzRugqj
bad rude rude food service price bad price staff terrible food place friendly friendly bad friendly rude experience service friendly service amazing food food,4,01-10-2025,uSRgjQxb
food terrible price experience friendly terrible price,1,25-04-2024,DxhLjFXY
experience great dirty service quality food place clean amazing terrible food staff staff experience terrible service amazing clean friendly terrible terrible friendly food,4,16-03-2025,bfSRnZoi
amazing quality amazing food amazing great service food food staff amazing experience food price,2,10-08-2024,nzaugkHK
place rude service dirty experience staff great price bad place service clean food,4,01-03-2024,imvBJgmB
terrible food great service clean experience quality staff staff friendly experience dirty friendly great,2,12-11-2023,nHJOOhUZ
terrible bad service clean clean terrible experience terrible price quality great terrible friendly quality bad place food price place experience food service great terrible,4,21-07-2023,NuqjIVOc
price amazing clean food bad staff rude clean experience dirty place terrible quality service clean service place amazing price,2,04-10-2023,igyyEiJb
friendly rude food quality clean dirty,1,19-03-2023,nFmQycZR
bad place rude food friendly dirty dirty clean terrible amazing clean friendly rude bad place quality,2,27-05-2025,SIsohyYX
great great place friendly place great service price clean service amazing dirty great bad quality rude,3,06-03-2023,JfzTxWQy
dirty food service service bad price great place clean experience service terrible friendly bad service great terrible amazing price,3,06-10-2024,GwZNoKWb
price experience price dirty food terrible dirty clean price friendly quality staff food staff service service rude staff great food bad bad terrible dirty experience,3,07-05-2025,pxCgFvlV
amazing rude quality price staff dirty price quality price terrible price,1,13-11-2025,ldBafjVs
experience staff bad friendly quality price price bad place amazing quality terrible bad price friendly place quality rude great bad experience quality quality service staff,5,25-08-2024,zpfHntJI
service great rude great experience service friendly price clean food food great,4,14-05-2023,YxwuPaij
dirty place amazing quality experience great service terrible service dirty,1,29-07-2023,xLQCGHuz
rude staff friendly amazing service quality experience great dirty place place rude dirty service staff price experience place friendly friendly dirty service quality,3,12-09-2024,CQSauqgl
quality terrible amazing quality great experience experience,1,28-06-2023,oGarmsvU
friendly staff amazing quality great friendly price,4,19-06-2023,MctptijL
friendly terrible friendly experience food staff,4,23-08-2024,sRJVkTqT
friendly dirty clean friendly dirty food food terrible clean bad rude staff price food amazing dirty rude dirty price staff amazing price place amazing friendly,5,28-09-2025,ITvGaXVQ
amazing quality staff price amazing quality quality food quality,4,03-01-2025,ZAXHJiFU
place experience amazing quality dirty great rude dirty quality dirty terrible experience amazing service friendly rude clean bad rude bad amazing dirty price,3,27-06-2023,mhsFXbZt
place staff staff clean experience quality clean price service place quality dirty food experience terrible,2,01-02-2025,qlMsdZQK
bad staff amazing bad great place friendly rude friendly staff amazing experience quality,1,16-04-2023,hYcVSFot
terrible friendly service bad bad friendly staff friendly amazing place clean rude bad,1,17-03-2024,wRDlYQMC
place price experience food amazing quality quality food price staff bad,3,01-07-2025,UbtjZRBV
place great dirty staff price friendly,2,19-09-2023,NQulnaXJ
dirty clean great quality staff dirty dirty terrible terrible quality amazing,1,02-01-2025,DEfUJZct
great service bad quality price place place service terrible quality amazing rude price service quality quality rude dirty quality amazing experience clean clean,4,16-03-2025,QETRkkFM
dirty experience price clean rude bad amazing quality price food amazing great staff terrible clean experience dirty service clean food staff staff great great,1,25-12-2024,pOhseSAo
food friendly quality friendly friendly bad service terrible bad service rude bad friendly food service friendly bad rude great amazing experience rude quality food service,3,04-06-2025,WmezcqZX
terrible quality quality service quality experience terrible terrible amazing experience quality terrible bad,2,04-11-2025,qfcjmtjP
food service staff friendly clean place clean great friendly great,4,13-07-2025,KzlcQDej
price rude price bad bad place amazing amazing staff amazing clean experience dirty food friendly service place dirty amazing staff price,2,27-03-2024,FUmJqHAC
food quality staff dirty terrible quality amazing staff,5,22-04-2025,TJBICXvf
place bad terrible great clean place clean staff clean amazing dirty amazing quality clean bad price dirty,5,30-05-2023,IfxdzIIU
service food staff food place food terrible clean quality service bad terrible rude dirty dirty experience price amazing clean bad,2,17-06-2025,xOQTirSw
price experience dirty place bad staff staff friendly quality rude place clean staff clean staff food bad clean quality great amazing price place experience dirty,5,12-06-2023,PACbQzgo
bad bad food rude experience rude,,,
quality bad service price amazing clean dirty,2,13-06-2024,FGrJwtgE
clean rude clean experience friendly rude quality terrible bad great quality dirty price experience rude bad price service terrible staff bad service,2,26-03-2023,ivbNvIVH
food amazing staff staff place dirty terrible food rude service,2,13-04-2023,Grbeuekb
dirty terrible great place place terrible rude dirty rude experience experience rude friendly bad dirty service great service,5,27-03-2023,MHioxaet
